developer_id,avg_study_duration,total_study_duration,total_revisit,total_tutorial_completion,enrolling_times,avg_total_course_completion_duration,avg_submission_rating,max_score,average_score,total_attemps,is_passed,avg_duration,avg_time_left,avg_time_utilization,dominant_days,consistency_ratio,total_events
433737,84711.58953660523,381456287.68333334,208,4503,52.0,155.41935483870967,3.961448890703689,100.0,64.66559485530547,933.0,503.0,0 days 00:02:36.655948553,0 days 00:09:05.337620578,25.233192257308012,['Friday'],0.21030424161669997,9006.0
494342,108562.01258503401,250018314.98333332,729,2303,52.0,35.51111111111111,4.302311298640412,100.0,76.1122159090909,704.0,482.0,0 days 00:03:45.596590909,0 days 00:08:22.159090909,30.54229797979798,['Tuesday'],0.205601389491967,4606.0
496740,162945.23527900147,591817094.5333333,462,3632,66.0,118.53333333333333,4.274977965307079,100.0,78.56548431105048,1466.0,1068.0,0 days 00:03:16.616643929,0 days 00:06:58.813096862,31.469858094005435,['Sunday'],0.1969988986784141,7264.0
518124,97188.41875751021,134800336.81666666,408,1387,46.0,55.25,4.152659282700422,100.0,90.57081545064378,466.0,426.0,0 days 00:04:02.188841201,0 days 00:09:09.141630901,32.096804959465906,['Monday'],0.22782984859408795,2774.0
531259,72323.02227141483,375718100.7,1692,5195,67.0,137.12280701754386,4.069116514915982,100.0,67.6333549643089,1541.0,874.0,0 days 00:07:20.830629461,0 days 00:05:43.024010382,50.82204917441777,['Monday'],0.21491819056785372,10390.0
791882,12700.97948061081,42141849.916666664,482,3318,33.0,160.3846153846154,4.4788323596235,100.0,81.41836734693878,784.0,612.0,0 days 00:05:04.362244897,0 days 00:08:39.030612244,36.664086324184844,['Thursday'],0.22860156720916214,6636.0
886996,22648.786027679624,51276851.56666667,494,2264,42.0,69.97142857142858,4.536467751657625,100.0,80.75077881619937,642.0,483.0,0 days 00:04:35.233644859,0 days 00:07:44.485981308,34.4944617514711,['Friday'],0.2782685512367491,4528.0
938276,342510.4161738351,127413874.81666666,105,372,21.0,28.210526315789473,4.386593382189652,100.0,84.20224719101124,356.0,296.0,0 days 00:05:00.674157303,0 days 00:11:57.977528089,41.62453183520599,['Friday'],0.2325268817204301,744.0
1202367,9486.641428254603,42775266.2,889,4509,52.0,53.945945945945944,4.2020002280761775,100.0,57.25687458081824,1491.0,560.0,0 days 00:06:58.350100603,0 days 00:08:01.126760563,47.35479543930248,['Friday'],0.1864049678420936,9018.0
1319457,32070.64282187442,114748760.01666667,872,3578,33.0,59.233333333333334,4.473575949367088,100.0,95.07083333333334,480.0,462.0,0 days 00:03:51.375000,0 days 00:08:21.250000,33.378935185185185,['Monday'],0.21115148127445502,7156.0
1776122,27457.43075476766,68149343.13333334,220,2482,24.0,99.95833333333333,3.8152426160337556,100.0,82.0906862745098,408.0,335.0,0 days 00:04:10.147058823,0 days 00:10:33.235294117,31.668850011268873,['Wednesday'],0.22703464947622884,4964.0
2131303,61937.542504442754,325295973.23333335,811,5252,52.0,80.77272727272727,4.408867951668585,100.0,81.55952380952381,756.0,601.0,0 days 00:03:54.365079365,0 days 00:07:07.857142857,37.48186918445539,['Saturday'],0.2461919268849962,10504.0
2135328,52075.10127477477,192677874.71666667,1273,3700,45.0,39.292682926829265,4.438785118863847,100.0,90.66363636363636,550.0,500.0,0 days 00:04:38.181818181,0 days 00:09:24.763636363,31.423434343434348,['Wednesday'],0.20054054054054055,7400.0
2395575,92611.55644210048,272185364.3833333,549,2939,31.0,58.666666666666664,4.2707032348804495,100.0,89.08343711083437,803.0,732.0,0 days 00:03:56.637608966,0 days 00:07:21.818181818,34.28974678289747,['Monday'],0.24089826471588976,5878.0
3557828,14089.836045535621,44763409.11666667,287,3177,34.0,65.05882352941177,4.308631173988583,100.0,87.78825622775801,562.0,517.0,0 days 00:04:57.224199288,0 days 00:07:38.967971530,43.58274021352313,['Tuesday'],0.2192319798552093,6354.0
5021477,48.08557347670251,8943.916666666666,0,186,1.0,2.0,4.213818565400844,100.0,85.04761904761905,42.0,36.0,0 days 00:05:31.428571428,0 days 00:04:14.285714285,49.02116402116402,['Wednesday'],0.5188172043010753,372.0
5044844,270.7414744933613,258287.36666666667,0,954,8.0,35.75,4.419409282700422,100.0,91.56603773584905,212.0,206.0,0 days 00:06:40.188679245,0 days 00:05:07.358490566,59.4916142557652,['Friday'],0.5062893081761006,1908.0
5051374,855.3920430107527,132585.76666666666,0,155,2.0,63.5,4.213818565400844,100.0,68.27272727272727,66.0,42.0,0 days 00:04:00,0 days 00:09:20,27.003367003367003,['Thursday'],0.35161290322580646,310.0
